Algorithm,Cell_Type,Cell_Size,Processing_Time_BFS (ms),Nodes_Processed_BFS (%),Processing_Time_DFS (ms),Nodes_Processed_DFS (%),Processing_Time_UCS (ms),Nodes_Processed_UCS (%),Processing_Time_Greedy (ms),Nodes_Processed_Greedy (%),Processing_Time_AStar (ms),Nodes_Processed_AStar (%)
BacktrackingGenerator,Rectangle,624,5.66,80.99,0.65,59.1,6.35,80.99,5.77,61.23,6.98,75.86
Division,Rectangle,3024,5.22,73.98,0.67,59.97,6.14,73.98,5.96,67.6,6.19,69.11
Wilsons,Rectangle,5328,4.63,64.35,0.43,36.59,7.19,64.35,7.86,41.71,6.97,61.98
BinaryTree,Rectangle,1700,2.92,44.09,0.29,23.45,3.32,44.09,2.25,26.27,4.12,43.34
CellularAutomaton,Square,2500,4.13,55.22,0.23,19.95,4.49,55.22,2.37,20.08,4.68,47.97
Division,Rectangle,3360,4.43,60.6,0.36,32.08,4.91,60.6,5.02,58.41,5,55.47
GrowingTree,Rectangle,1944,3.94,54.16,0.45,42.09,4.31,54.22,4.53,52.35,4.44,48.47
CellularAutomaton,Rectangle,1056,6.72,87.87,0.41,37.59,7.6,87.87,3.85,41.4,6.95,76.99
AldousBroder,Rectangle,1408,6.74,96.62,0.4,35.83,8.96,96.62,3.54,38.27,9.19,93.25
TrivialMaze,Rectangle,1512,2.71,40.84,0.29,24.83,3.05,40.84,2.09,25.7,2.9,34.33
AldousBroder,Rectangle,1240,5.76,79.86,0.63,55.22,6.76,79.86,6,61.79,6.92,73.61
Kruskal,Rectangle,4056,2.63,39.34,0.22,17.57,3.17,39.34,1.67,19.7,2.73,30.46
Prims,Rectangle,680,4.8,68.23,0.63,52.85,6.33,68.23,4.83,52.03,6.27,62.1
AldousBroder,Rectangle,1680,5.68,81.74,0.76,69.61,6.45,81.74,6.54,74.61,7.35,79.61
Division,Rectangle,3400,4.85,69.36,0.51,45.72,5.89,69.48,4.64,45.72,4.5,45.84
AldousBroder,Rectangle,2436,6.51,88.49,0.47,40.71,7.16,88.49,4.69,48.28,7.29,80.99
AldousBroder,Rectangle,1064,4.33,58.1,0.31,26.58,5.01,58.1,6.24,60.6,4.69,46.59
