Algorithm,Cell_Type,Cell_Size,Processing_Time_BFS (ms),Nodes_Processed_BFS (%),Processing_Time_DFS (ms),Nodes_Processed_DFS (%),Processing_Time_UCS (ms),Nodes_Processed_UCS (%),Processing_Time_Greedy (ms),Nodes_Processed_Greedy (%),Processing_Time_AStar (ms),Nodes_Processed_AStar (%)
AldousBroder,Rectangle,1944,4.48,64.98,0.29,25.7,5.19,64.98,2.42,27.14,5.31,58.6
Prims,Rectangle,5928,4.96,68.73,0.31,25.45,6.89,68.73,2.88,29.64,5.86,61.6
BacktrackingGenerator,Rectangle,3800,5.14,71.23,0.55,48.59,5.69,71.23,5.37,59.1,6.59,70.98
BacktrackingGenerator,Rectangle,2464,5.74,79.49,0.69,64.1,6.64,79.49,6.97,77.49,7.37,78.24
CellularAutomaton,Rectangle,2100,4.91,65.48,0.24,22.2,5.22,65.48,1.89,22.58,5.97,60.73
Ellers,Rectangle,2660,7.27,99.12,0.73,67.6,8,99.12,6.26,67.54,9.86,98.62
Kruskal,Rectangle,1672,6.35,86.49,0.85,80.99,7.59,86.49,7.33,82.11,8.31,86.49
BacktrackingGenerator,Rectangle,1560,4.93,68.98,0.17,13.82,5.68,68.98,1.26,13.82,4.86,52.22
Division,Rectangle,1700,4.23,58.35,0.18,14.95,4.91,58.35,1.29,15.2,4.05,41.34
Ellers,Rectangle,2960,5.84,81.36,0.51,45.47,7.05,81.36,4.67,50.03,7.28,80.24
BacktrackingGenerator,Rectangle,1500,6.69,94.62,0.58,48.72,8.16,94.62,4.96,57.79,8.61,90.49
AldousBroder,Rectangle,4080,4.9,69.86,0.58,53.22,5.71,69.86,5.11,53.97,6.73,66.98
AldousBroder,Rectangle,1344,6.1,82.43,0.71,63.6,6.5,82.49,5.27,58.72,6.65,74.23
CellularAutomaton,Rectangle,4736,6.75,96.25,1,93.75,8.73,96.25,9.92,96,8.71,96.25
Wilsons,Rectangle,4884,3.79,57.97,0.23,20.08,4.95,57.97,1.74,20.08,4.48,49.97
CellularAutomaton,Rectangle,4488,4.42,60.85,0.26,21.45,5.37,60.85,1.82,21.58,5.64,51.22
CellularAutomaton,Rectangle,1612,5.4,76.61,0.26,23.45,6.41,76.61,2.05,24.02,7.03,75.86
GrowingTree,Rectangle,5304,5.73,80.11,0.77,74.86,7.05,80.11,7.95,74.8,7.24,79.24
Sidewinder,Rectangle,3256,4.09,55.28,0.66,57.97,4.74,55.47,5.55,58.6,3.2,36.84
AldousBroder,Rectangle,4608,4.98,70.61,0.47,43.09,5.83,70.61,5.43,62.98,6.17,65.23
Wilsons,Rectangle,1760,3.14,46.22,0.41,38.84,3.5,46.22,3.6,43.34,4.04,44.47
HuntAndKill,Rectangle,3360,2.9,39.96,0.37,31.71,4.21,39.96,2.8,33.02,3.03,35.46
Division,Rectangle,1188,3.92,51.47,0.35,32.46,3.85,51.47,2.68,32.96,4.5,49.59
HuntAndKill,Rectangle,4800,3.08,47.47,0.46,41.96,3.67,47.47,4.33,46.22,4.57,47.34
BacktrackingGenerator,Rectangle,2352,6.27,83.36,0.87,80.49,8.05,83.36,7.38,82.86,7.51,83.36
BinaryTree,Rectangle,2508,5.88,81.36,0.63,56.85,7.53,81.36,7.08,78.49,7.52,80.86
Sidewinder,Rectangle,2856,4.99,70.61,0.46,41.21,5.63,70.61,3.44,41.4,5.55,59.47
CellularAutomaton,Rectangle,3264,7.17,99.62,0.73,65.98,8.99,99.62,6.12,67.1,9.03,99.25
Ellers,Rectangle,1120,5.93,78.49,0.35,32.58,6.15,78.49,3.03,36.15,6.61,72.36
Prims,Rectangle,1536,3.84,57.97,0.33,27.95,5.61,57.97,2.59,29.21,7.02,50.59
Ellers,Rectangle,2208,6.5,87.12,0.28,24.7,7.58,87.12,2.36,28.27,7.25,81.24
BacktrackingGenerator,Rectangle,2992,5.77,84.62,0.51,46.34,6.9,84.62,4.99,55.6,7.25,79.49
Sidewinder,Rectangle,3744,4.34,56.97,0.24,20.83,4.96,56.97,2.09,24.45,4.7,46.09
BinaryTree,Rectangle,2176,6.62,91.49,0.57,51.84,7.78,91.49,5.57,59.16,7.39,78.99
TrivialMaze,Rectangle,2268,5.09,72.23,0.34,29.83,6.61,72.23,2.99,29.96,5.42,55.85
Sidewinder,Rectangle,4104,5.69,79.11,0.51,46.22,6.18,79.11,5.75,65.98,6.53,73.73
AldousBroder,Rectangle,1100,7.27,98.12,0.95,87.62,8.55,98.12,8.11,92.25,8.84,97.37
Prims,Rectangle,3360,6.72,95.5,0.84,78.49,8.16,95.5,6.63,80.36,8.72,90.99
BacktrackingGenerator,Rectangle,2576,5.06,71.23,0.35,30.46,6.11,71.23,5.03,55.1,6.13,68.48
Kruskal,Rectangle,1820,5.42,76.11,0.43,37.96,5.97,76.11,3.12,38.84,6.06,66.48
AldousBroder,Rectangle,1848,4.75,65.48,0.45,39.34,6.18,65.48,4.68,51.41,5.62,59.22
Sidewinder,Rectangle,1440,6.24,85.49,0.76,71.36,7.33,85.49,2.05,24.45,7.46,80.11
TrivialMaze,Rectangle,5016,6.77,95.87,0.42,38.46,7.93,95.87,6.88,75.17,8.79,92.12
CellularAutomaton,Rectangle,2736,5.33,73.11,0.37,31.58,6.31,73.11,2.81,33.08,5.24,56.85
BacktrackingGenerator,Rectangle,1944,5.81,77.24,0.9,63.1,7.46,77.24,4.67,42.65,7.4,76.86
HuntAndKill,Rectangle,1564,5.22,74.86,0.81,71.98,6.5,74.98,6.39,73.05,6.52,70.61
Division,Rectangle,3744,5,73.55,0.78,72.73,7.23,73.73,6.83,73.11,6.64,66.1
Ellers,Rectangle,880,5.63,82.11,0.54,48.47,6.4,82.11,4.75,51.59,6.8,74.48
TrivialMaze,Rectangle,2280,4.36,61.6,0.49,42.96,5.1,61.6,3.69,43.84,6.55,57.72
TrivialMaze,Rectangle,3328,3.84,57.47,0.23,20.2,4.48,57.47,1.83,20.26,4.39,47.59
Ellers,Rectangle,4836,5.5,79.74,0.61,56.22,7.16,79.74,7.08,77.74,7.53,78.49
Kruskal,Rectangle,1176,5.46,75.73,0.36,30.96,6.28,75.73,2.92,34.46,5.9,63.98
Ellers,Rectangle,5472,3.96,55.6,0.35,27.2,5.98,55.6,2.52,28.58,5.44,44.72
Division,Rectangle,2784,8.26,97.12,0.87,81.61,7.84,97.12,8.53,96.5,8.31,90.12
Sidewinder,Square,5776,6.03,86.37,0.79,73.11,7.13,86.37,7.12,78.24,8.39,86.12
BinaryTree,Rectangle,4032,6.87,98.37,0.53,47.22,7.94,98.37,6.61,75.42,8.59,95.75
Ellers,Rectangle,4104,3.02,45.22,0.26,23.58,3.35,45.22,3.1,24.52,4.52,44.72
Kruskal,Rectangle,2576,5.03,68.11,0.33,29.33,5.62,68.11,2.43,29.46,6.12,61.6
Division,Rectangle,5168,4.74,68.54,0.49,43.46,6.38,68.61,3.55,38.71,5.91,59.35
Kruskal,Rectangle,1560,6.08,85.37,0.36,32.96,6.88,85.37,5.66,64.23,7.32,79.24
GrowingTree,Rectangle,3600,4.98,70.61,0.63,58.35,5.94,70.61,5.82,68.73,6.98,69.11
Kruskal,Rectangle,2604,3.53,51.97,0.41,37.46,4.27,51.97,2.5,30.02,4.6,50.47
GrowingTree,Rectangle,2808,3.46,49.97,0.3,26.08,4.16,49.97,3.31,30.96,4.23,41.71
Wilsons,Rectangle,3456,2.98,40.9,0.55,49.72,3.18,41.09,4.57,49.72,3.07,29.46
HuntAndKill,Rectangle,1216,4.85,65.35,0.43,38.46,5.59,65.35,3.23,32.58,5.71,62.73
HuntAndKill,Rectangle,4992,3.45,45.97,0.21,17.95,3.54,45.97,1.98,18.89,3.94,41.34
CellularAutomaton,Rectangle,4480,6.94,96,0.59,51.34,8.27,96,4.7,52.85,9,93.37
